id,name,category,description,price,unit,image,in_stock,is_featured
,Token Board,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (1).png,True,False
,Behavior Thermometer,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (10).png,True,False
,Visual Timer,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (11).png,True,False
,Break Card,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (12).png,True,False
,Reward Jar / Reward System,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (13).png,True,False
,Behavior Cue Cards,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (14).png,True,False
,Redirection Cards,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (15).png,True,False
,Self-Monitoring Chart,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (16).png,True,False
,Problem Solving Steps,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (17).png,True,False
,Incentive Chart,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (18).png,True,False
,Waiting Cards,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (19).png,True,False
,Token Strips,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (2).png,True,False
,Impulse Control Cards,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (20).png,True,False
,Social Skills Cards,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (21).png,True,False
,Problem Behavior Choice Cards,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (22).png,True,False
,Token Pouch,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (23).png,True,False
,Therapy Binder,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (24).png,True,False
,Visual Schedule,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (3).png,True,False
,First-Then Board,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (4).png,True,False
,Choice Board,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (5).png,True,False
,Calm Down Cards,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (6).png,True,False
,Emotion Cards,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (7).png,True,False
,Behavior Chart,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (8).png,True,False
,Social Story Book,Behavioural Therapy,,0.00,per piece,categorized_product/behavioural therapy/1 (9).png,True,False
,Therapy Putty,Occupational Therapy,,0.00,per piece,categorized_product/occupational therapy/1 (1).png,True,False
,Wobble Cushion,Occupational Therapy,,0.00,per piece,categorized_product/occupational therapy/1 (10).png,True,False
